vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Particular,1850000,7,193,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1850000
Agencia,5200000,7,591,No especificado,True,False,No especificado,,0,5200000
Agencia,2500000,7,359,No especificado,True,False,No especificado,,0,2500000
Agencia,4750000,7,699,No especificado,True,False,No especificado,,0,4750000
Agencia,117175,1,68,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,117175
Agencia,250000,1,67,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,250000
Particular,495000,1,67,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,20000,515000
Particular,170000,1,64,Planta 3ª,False,False,No especificado,3.0,0,170000
Particular,500000,1,62,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,500000
Agencia,2600000,6,202,exterior con ascensor,False,True,Exterior,,0,2600000
Agencia,4500000,6,308,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,4500000
Agencia,3870000,6,686,No especificado,True,False,No especificado,,0,3870000
Particular,2400000,6,931,No especificado,True,False,No especificado,,0,2400000
Agencia,999000,6,510,No especificado,True,False,No especificado,,0,999000
Agencia,2990000,6,296,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,2990000
Agencia,2100000,6,455,No especificado,True,False,No especificado,,0,2100000
Agencia,888000,6,203,No especificado,True,False,No especificado,,0,888000
Particular,4900000,6,380,No especificado,True,False,No especificado,,0,4900000
Agencia,1400000,6,179,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1400000
Agencia,4350000,6,450,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,4350000
Particular,2050000,6,313,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,2050000
Agencia,5000000,5,370,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,5000000
Particular,698200,5,159,sin ascensor,False,False,No especificado,,0,698200
Particular,698200,5,159,sin ascensor,False,False,No especificado,,0,698200
Particular,138000,5,93,sin ascensor,False,False,No especificado,,0,138000
Particular,2500000,5,205,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,2500000
Agencia,2480000,5,292,No especificado,False,False,No especificado,,0,2480000
Agencia,790000,5,160,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,790000
Agencia,1770000,5,251,Planta 10ª exterior con ascensor,True,True,Exterior,10.0,0,1770000
Agencia,2600000,5,380,No especificado,True,False,No especificado,,0,2600000
Particular,2990000,5,407,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,2990000
Agencia,1200000,5,224,No especificado,True,False,No especificado,,0,1200000
Particular,2250000,5,238,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,2250000
Particular,595000,5,119,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,595000
Particular,2850000,5,305,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,2850000
Particular,998000,5,142,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,998000
Particular,2500000,5,220,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,2500000
Agencia,2500000,5,530,No especificado,True,False,No especificado,,0,2500000
Particular,2290000,5,367,No especificado,True,False,No especificado,,0,2290000
Particular,1125000,5,225,Planta 2ª exterior sin ascensor,True,False,Exterior,2.0,0,1125000
Agencia,2980000,5,240,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,2980000
Agencia,4180000,5,252,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,4180000
Agencia,1300000,5,167,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1300000
Agencia,3430000,5,281,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,0,3430000
Particular,980000,5,163,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,980000
Agencia,3200000,5,300,No especificado,False,False,No especificado,,0,3200000
Particular,1450000,5,165,Planta 4ª interior con ascensor,True,True,Interior,4.0,0,1450000
Agencia,2873000,5,388,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,2873000
Agencia,2975000,5,407,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,2975000
Particular,510000,5,160,Planta 10ª exterior con ascensor,True,True,Exterior,10.0,0,510000
Agencia,1750000,5,368,exterior con ascensor,True,True,Exterior,,0,1750000
Agencia,3870000,5,686,No especificado,False,False,No especificado,,0,3870000
Particular,4850000,5,420,No especificado,True,False,No especificado,,0,4850000
Agencia,2873000,5,360,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,2873000
Particular,650000,5,150,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,650000
Agencia,2873000,5,360,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,2873000
Particular,1650000,5,248,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1650000
Agencia,1720000,5,159,No especificado,False,False,No especificado,,0,1720000
Particular,4850000,5,370,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,4850000
Agencia,4200000,5,422,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,4200000
Agencia,2390000,5,254,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,2390000
Agencia,849999,5,153,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,849999
Particular,364900,5,148,No especificado,False,False,No especificado,,0,364900
Agencia,1450000,5,154,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,1450000
Agencia,750000,5,128,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,750000
Particular,1285000,5,345,No especificado,True,False,No especificado,,0,1285000
Particular,5300000,5,412,Planta 14ª exterior con ascensor,True,True,Exterior,14.0,0,5300000
Agencia,3180000,5,260,exterior con ascensor,False,True,Exterior,,0,3180000
Agencia,4500000,5,470,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,4500000
Agencia,6980000,5,360,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,6980000
Particular,1125000,5,222,Planta 2ª exterior sin ascensor,True,False,Exterior,2.0,0,1125000
Particular,3850000,4,290,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,3850000
Particular,400000,4,98,sin ascensor,False,False,No especificado,,0,400000
Particular,431000,4,330,No especificado,False,False,No especificado,,0,431000
Particular,431000,4,330,No especificado,False,False,No especificado,,0,431000
Particular,435400,4,146,sin ascensor,False,False,No especificado,,0,435400
Particular,2400000,4,236,No especificado,False,False,No especificado,,0,2400000
Particular,136000,4,102,sin ascensor,False,False,No especificado,,0,136000
Particular,298000,4,95,Planta 3ª sin ascensor,False,False,No especificado,3.0,0,298000
Particular,310000,4,91,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,310000
Particular,1520000,4,192,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1520000
Agencia,970000,4,165,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,970000
Particular,330000,4,91,No especificado,False,False,No especificado,,0,330000
Agencia,395000,4,151,Bajo exterior con ascensor,False,True,Exterior,0.0,0,395000
Particular,365000,4,96,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,365000
Agencia,2990000,4,285,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,30000,3020000
Agencia,995000,4,126,Planta 6ª interior con ascensor,True,True,Interior,6.0,48000,1043000
Particular,900000,4,162,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,900000
